Unnamed: 0	claim	evidence	label	chatgpt_claims
411	İlginç ama gerçek: 2018’den beş doğru bilgi	Polonya’da Bira Sevenler Partisi kuruldu.Kanadalı doktorlar maaşlarına yapılan zammı protesto etti.ABD'li 200 bin kadın dekolte giyerek “meme depremi” yaratmaya çalıştı.TV 8’de yayınlanan bir magazin programında görünen pop şarkıcısı Selena Gomez’in boynundaki haç sansürlendi.A Haber 4 bin 600 yıllık cami taşınıyor şeklinde bir alt bant kullandı.	doğru	Interesting but true: Five correct information from 2018.
621	Avrupalı yetkililerin Rusya’ya karşı Türkiye’nin silahlandırılması gerektiğini açıkladığı iddiası	İddiaların kaynağı Eurasia Review adlı sitede yayınlanan bir görüş yazısı.Yazıda Türkiye’nin bölgesel, ekonomik ve askeri olarak, ABD ve NATO ittifakı ile, Rusya’ya karşı koyabilecek tek ülke olduğu belirtiliyor.Ancak yazıdaki düşünceler bir yazarın şahsına ait.	yanlış	The claim that European officials have stated that Turkey needs to be armed against Russia.
721	Ters duraklar ‘anlamsız, mantıksız ve sebepsiz’ değil	Ters duraklar sadece İstanbul’da değil, Londra ve Dublin’de de var. Benzerlerinde görüldüğü gibi bu duraklar, bulunduğu yerin gün ışığı, rüzgar ve yol genişliği hesap edilerek ters olarak konumlandırılabilir. Cephesi yapıya bakan durakların yağmur ve rüzgardan koruma oranı, cephesi yola bakan duraklardan daha yüksektir. Ayrıca, dünyada ki ‘ters durak’ örneklerinin bir çoğu bu amaçla ters olarak konumlandırılır. Bu sebepler ve dünyadaki örnekler durakların ters olarak konumlandırılmasının bir amacı olduğunu gösterir. ‘Anlamsız, mantıksız ve sebepsiz’ iddialarını çürütür.	yanlış	Reverse stops are not 'meaningless, illogical, and baseless'.
914	‘Ne kadar çok bilgi o kadar düşük ego, ne kadar az bilgi o kadar yüksek ego’ sözünün Albert Einstein'a ait olduğu iddiası	Albert Einstein’ın yazdığı ve hakkında basılmış kitaplarda böyle bir söz yer almıyor.Bern’deki Einstein Müzesi iddia konusu olan sözü kaynaklarında bulamadığını söyledi.Hebrew Üniversitesi Albert Einstein Arşivi iddia konusu olan sözün Albert Einstein'a ait olmadığını söyledi.	yanlış	"The claim is that the quote ""The more knowledge, the lower the ego; the less knowledge, the higher the ego"" belongs to Albert Einstein."
917	Bir Facebook kullanıcısı tarafından 2 Eylül 2020 tarihinde paylaşılan gönderide kafein etkisinde olan örümceklerin ördüğü ağlarda en büyük bozulma gerçekleştiği iddia edildi.	İsviçreli farmakolog Peter N. Witt’in yaptığı deneylerde amfetamin, meskalin, striknin, LSD ve kafein maddelerinin örümceklerin ağ örme becerilerini etkilediği ve örümcek ağlarında en çok bozulmayı kafeinin yarattığı görülmüş. 1995’te kafein, benzedrin, marihuana ve kloral hidrat maddeleri ile Avrupa bahçe örümceklerini kullanarak Witt’in deneylerini tekrarlayan NASA’daki araştırmacılar da kafein etkisindeki örümceklerin ördükleri ağların, diğer madde etkisindekilere göre daha deforme olduğunu bulmuşlar.	doğru	In a post shared by a Facebook user on September 2, 2020, it was claimed that the biggest disruption occurs in the webs woven by spiders under the influence of caffeine.
893	Kız Kulesi'nin yıkıldığı iddiası	2021 tarihli restorasyon açıklamasında Kız Kulesi’nin üst kısmının söküleceği açıklanmıştı.Teknik raporlarda Kız Kulesi’nin özellikle balkon katı ve üstündeki bölümlerde hasarın yoğunlaştığı, daha önce yapılan betonarme yapının ekonomik ömrünü tamamladığı ve restorasyon için üst kısmın sökülüp onarılması önerilmiş.İkinci Dünya Savaşı sırasında yapılan restorasyonda da Kız Kulesi’nin külahı yeniden inşa edilmiş.Kültür Varlıkları ve Müzeler Genel Müdürlüğü açıklama yaparak külah bölümün planlı şekilde uzaklaştırıldığını belirtti.22 Ağustos 2022 tarihinde Hürriyet'te yapılan bir haberde restorasyonla ilgili ayrıntılara yer verilmiş ve bazı bölümlerin söküldüğü bilgisi aktarılmış.	yanlış	The claim that Maiden's Tower has collapsed.
811	Deneyin kablosuz internet dalgalarının bitki gelişimini olumsuz etkilediğini kanıtladığı iddiası	İddianın kaynağı lisede yapılan bir deney.Deney, kablosuz internet dalgalarının bitki gelişimine olumsuz etkisi olduğuna dair güvenilir kanıt sunacak kadar kontrollü değil.Yapılan başka bir deneyde, radyasyon dalgaları test edilen türlerin hiçbirinin çimlenmesini etkilemedi.Dünya Sağlık Örgütü, kablosuz ağlardan yayılan radyasyonun seviyesinin canlıları etkilemeyecek kadar az olduğunu söylüyor.	yanlış	The experiment claims to prove that wireless internet waves have a negative impact on plant growth.
542	Bir Twitter hesabı tarafından 6 Nisan 2023 tarihinde yapılan paylaşımda Muharrem İnce’nin eşi Ülkü İnce’ye Range Rover markalı 10 milyon TL değerinde araba aldığı iddia edildi. 	Bir Twitter hesabı tarafından yapılan paylaşımda Muharrem İnce’nin eşi Ülkü İnce’ye Range Rover markalı 10 milyon TL değerinde araba aldığı iddia edilmişti. Söz konusu görsel 11 Haziran 2018 tarihinde Ülkü İnce’nin Başak Demirtaş’ı ziyarete giderken çekilen videodan ekran görüntüsü alınarak paylaşılmış. 2018 tarihinde çekilen görüntülerin tekrar paylaşılmasının ardından İBB ve Bakırköy CHP meclis üyesi Nadir Ataman 3 Nisan 2023 tarihinde konuya ilişkin açıklamada bulundu. Ataman, videoda görünen kişinin kendisi olduğunu ve Range Rover markalı aracın bir akrabasına ait olduğunu açıkladı.	yanlış	In a tweet posted by a Twitter account on April 6, 2023, it was claimed that Muharrem İnce's wife, Ülkü İnce, bought a Range Rover worth 10 million TL.
985	İsveç’te uygulanan her türlü şiddetin “erkek şiddeti” olarak değerlendirileceği iddiası	Kadının erkeğe şiddet uygulaması durumunun, “kadına yönelik erkek şiddeti” şeklindeki değerlendirileceği doğru.Burada dikkat çekilmek istenen kısım şiddetin “ataerkil” bir eylem olmasıdır.	yanlış	"The claim that any form of violence in Sweden will be considered as ""male violence""."
810	Ukrayna Kharkov’da ‘binaya Rusya bayrağı asıldı’ iddiası	İddia edilen fotoğraf, 4 Mart 2014 tarihinde Donetsk’te yeni hükümet karşıtı Rus yanlısı eylemcinin Belediye Meclis Binasına Rusya bayrağını astığı anı gösteriyor.Fotoğrafın güncel Rusya- Ukrayna kriziyle bir bağlantısı yok.Fotoğraf, Reuters tarafından çekildi.	yanlış	Allegations of 'Russian flag hung on a building' in Kharkiv, Ukraine.
