	claim	evidence	label
29	Bir Instagram hesabı tarafından 25 Aralık 2022 tarihinde yapılan paylaşımda tedavüle girdiği tarihten bu yana 200 TL’lik banknotta 120 ABD doları değer kaybı yaşandığı iddia edildi.	2 Ocak 2009’da 200 liralık bir banknotla yaklaşık 131 dolar alınabiliyorken, iddianın paylaşıldığı 25 Aralık 2022’de 10,7 dolar alındığı iddiası doğru. İki tarih aralığı arasında 200 TL’de yaklaşık 120 dolarlık bir kayıp gerçekleşmiş. Orana vurulduğunda ise değer kaybının yüzde 1129,7 olduğu sonucuna ulaşılıyor.	doğru
535	Mike Tyson’ın tişörtü aşı karşıtı mesaj içermiyor	Tyson’ın aşı propagandası yaptığı iddia edilen tişörtü aslında Tyson’ın boks müsabakasından bir kare içeriyor. İddia kaynağı fotoğraf ile orijinal fotoğraf yan yana getirdiğinde aşı karşıtı mesajın tişörte fotomontaj ile eklenmiş olduğu görülüyor.	yanlış
695	Bir Twitter hesabı tarafından 27 Haziran 2022 tarihinde yapılan paylaşımda Rusya’nın iddiadaki görülen ve 67 yaşında olduğu iddia edilen aşırı kilolu emekli generali Ukrayna savaşı için göreve çağırdığı iddia edildi.	Bir Twitter hesabı tarafından Rusya’nın 67 yaşındaki obez ve emekli General Pavel’i göreve çağırdığı iddia edilmişti. Hollanda merkezli doğrulama kuruluşların araştırması sonucunda, Pavel isimli general olduğu iddia edilen kişinin, açık kaynaklı araştırma yöntemleriyle Turchin İvan İvanoviç isimli, 58 yaşında emekli bir sınır muhafızı olduğu tespit edilmiş.	yanlış
557	Çin’deki drone’ların düşmesinin sosyal medya kesintisi ile ilgisi yok	"Görüntüdeki drone’ların gökyüzünden düşme sebebi, Facebook, Instagram ve WhatsApp’ta yaşanan kesintilerle ilgili değil. Kazaya neyin sebep olduğu bilinmiyor.
Video, 1 Ekim’de Çin’in Çengçou şehrinde, bir drone gösterisi esnasında bilinmeyen bir sebeple drone’ların düşmesini ve halkın korkuyla kaçışını gösteriyor. Söz konusu sosyal medya kesintileri 4 Ekim’de yaşanmıştı. 
Facebook markası altındaki sosyal medya platformlarına erişilememsi durumu, “genel internet kesintisi” anlamına gelmiyor. Aynı gün içerisinde diğer websitelerine erişilmekteydi."	yanlış
836	Muharrem İnce’nin ‘Kılıçdaroğlu kadar çalışkan değilim’ söyleminin güncel olduğu iddiası	Muharrem İnce’nin ‘Kılıçdaroğlu kadar çalışkan olduğumu sanmıyorum’ ifadesi gazeteci Faruk Bildirici’nin ‘Sahibinin Sesinden Portreler’ isimli podcast’inden alınmış.Faruk Bildirici podcast’in başında söyleşinin 2011 yılına, İnce’nin CHP Grup Başkanvekili olduğu döneme ait olduğunu belirtmiş.	yanlış
596	İtalya Yüksek Sağlık Enstitüsü'nün Covid-19’dan ölenlerin sayısını düşürdüğü iddiası	İddia, İtalya Ulusal Sağlık Enstitüsü’nün 5 Ekim 2021 tarihinde yayınladığı rapora dayanıyor.Raporda hastaneye yatırılıp ölen 7 bin 910 kişi örneklem olarak seçilmiş. Sonuçlara göre, toplamın yüzde 2,9’unda herhangi bir ikincil hastalık yok.Yüzde 97,1’inde ise iskemik kalp hastalığı, kalp yetmezliği, obezite veya bağışıklık sistemi hastalıkları olduğu gözlemlenmiş.Bu kişilerin ölümleri sebepleri de Covid-19. Diyabet, obezite gibi hastalıklar, hastaların asıl ölüm sebepleri değil.	yanlış
165	The Simpsons dizisinin Rusya Ukrayna çatışmasını önceden bildiği iddiası	Görseller üzerinde dijital düzenleme yapılmış.Görseller The Simpsons ile ilgili başka iddialarda da kullanılmış.Orijinal görüntülerde Ukrayna bayrağı yer almıyor.	yanlış
918	Alman kanalında maç anlatan spikerin küfretmek için Türkçe konuşmaya başladığı iddiası	Ses videoya sonradan Splashbrudda adlı sosyal medya kullanıcısı tarafından eklenmiş.Video ilk olarak 2013 yılında internette paylaşılmış.Videonun sağ üst köşesinde Splashbrudda’nın logosu görülüyor.Teyit’in ulaştığı Splashbrudda, eğlence amaçlı seslendirme videoları hazırladığını söyledi.	yanlış
495	İstanbul Çapa Tıp Fakültesi’nde bir kişinin koronavirüs tanısıyla karantinaya alındığı iddiası	Hastanede yeni koronavirüs şüphesiyle karantinaya alınan çocuğa mevsimsel grip teşhisi kondu.Sağlık Bakanı Fahrettin Koca'da hastanede Şubat 2020'de teşhis konmuş Covid-19 vakası olmadığını doğruladı.	yanlış
824	Özlem Türeci ve Uğur Şahin’in tıp doktoru olmadıkları iddiası	Özlem Türeci ve Uğur Şahin tıp doktoru.Kaynaklara göre ikisi de tıp fakültesinden mezun olmuş.Birçok saygın kurum çifti doktor olarak tanımlıyor.	yanlış
65	Bir Twitter hesabı tarafından 20 Haziran 2022 tarihinde yapılan paylaşımda İstanbul Üniversitesi Tıp Fakültesi dönem birincisi Dr. Nur Merve Uçar’ın mezuniyet konuşmasında “giderlerse gitsinler dediler diye gidecek, kalın itibarınızı geri vereceğiz diyenlere kanacak hekimler asla değiliz” ifadelerini kullandığı iddia edildi.	"Bir Twitter hesabı tarafından yapılan paylaşımda yer alan ifadelerin İstanbul Üniversitesi Tıp Fakültesi dönem birincisi Dr. Nur Merve Uçar’a ait olduğu iddia edilmişti. Dönem birincisi Nur Merve Uçar’ın konuşması dinlendiğinde söz konusu ifadelerin yer almadığı görülüyor. Videonun devamında tüm öğrenciler adına yapılan ""2022 mezunlar"" konuşuyor kısmında bu sözlerin ifade edildiği görülüyor ancak bu sırada dönem birincisi Dr. Nur Merve Uçar’ın elinde mikrofon bulunmuyor."	yanlış
141	‘Toyota, Ukrayna’ya destek amacıyla 5 bin araç gönderiyor’ iddiası	Toyota Hilux pick-up aracının Ukrayna’ya destek amacıyla gönderildiğine dair bir kanıt bulunmuyor.Toyota’nın yaşanan krizle ilgili olarak güncel bir paylaşımı yok.	yanlış
925	Emine Erdoğan vatandaşa “Mangoyu kurutup saklayın” tavsiyesi vermedi	Emine Erdoğan bu sözleri halka hitaben söylemedi. İddianın kaynağı, Emine Erdoğan’ın 2015 yılında Türkiye’yi ziyaret eden Mali Cumhurbaşkanı İbrahim Boubacar Keita’nın eşi Aminata Keita’ya saray mutfağını anlatırken kullandığı bir ifadenin çarpıtılmasından ibaret.	yanlış
827	Okullar açılınca bütün öğrencilere PCR testi yapılacağı iddiası	İddia konusu görseller Covid-19 PCR testinin nasıl yapıldığını gösteriyor.3 Eylül 2020 tarihi itibariyle ne Milli Eğitim Bakanlığı, ne de Sağlık Bakanlığı yüz yüze eğitime geri dönülürse tüm öğrencilere test yapılacağına dair bir duyuru yaptı.Sağlık Bakanlığı tarafından Temmuz ayında yayınlanan rehberde okullarda test yapılması maddesi yer almıyor.Sağlık Bakanlığı’nın kimlere test yapılacağı ile ilgili protokolleri var. Öğrenciler ancak bu koşulları taşıyorsa test yapılabilir.	yanlış
655	200 TL’nin dolar karşısındaki değerine dair iddialar	1 Ocak 2009’da dolaşıma giren 200 TL, yaklaşık 131 dolar ediyordu.2009’un sonunda bu değer 134 dolara kadar yükseldi.İddianın paylaşıldığı 25 Aralık 2022’de ise 200 Türk Lirası 10,71 dolara karşılık geliyordu.Tedavüle girdiğinden bu yana 200 TL’nin dolar karşısındaki değeri azalmış.	doğru
331	Harita Türkiye’deki ilk koronavirüs vakasının Kayseri’de olduğunu göstermiyor	Haritada gösterilen noktalar, vakaların tespit edildiği lokasyonları değil, ülkelerin coğrafi merkezlerini gösteriyor.Bölgesel işaretleme sistemi, Çin, ABD, Kanada, Avustralya gibi federal ülkelerde uygulanıyor. Çünkü bu ülkelerde veriler, eyaletler tarafından bölgesel olarak raporlanıyor	yanlış
664	Ağız gargarasının COVID-19’u tedavi ettiği iddiası	Güncel çalışmalarda ve klinik araştırmalarda, bazı gargaraların ağızdaki viral yükü azaltabildiği, burun veya akciğerlerdeki virüsü öldürmediği ve hastalığın tedavisi olmadığı tespit edildi. Amerikan Diş Hekimleri Birliği, “Şu anda gargaranın COVID-19 virüsünün neden olduğu bir hastalığın tedavisi olduğunu destekleyen hiçbir kanıt yok” dedi. Cardiff Üniversitesi’nden Virolog Dr. Richard Stanton gargara için, bazıları viral yükü azaltmada çok etkili, diğerleri hiç etkili değil, dedi. Ayrıca, ”gargara bir COVID-19 hastasını iyileştirmez” vurgusu yaptı.	yanlış
249	Dr. Hasan Hüsnü Eren’in Covid-19 aşıları hakkındaki iddiaları	Covid-19 aşısının beklenen yan etkileri kısa vadede görülüyor ve çoğunlukla kendiliğinden geçiyor.Uzmanlar, henüz toplum bağışıklığı oluşacak kadar kişi aşılanmadığı için maske ve sosyal mesafeye dikkat edilmesi gerektiğini söylüyor.Şu anda uygulanan aşıların üçüncü faz çalışmaları bitti.Bağışıklığımızı güçlü tutmak aşılara denk bir alternatif değil.	yanlış
907	"The Simpsons’ta ""chemtrails""in öngörüldüğü iddiası"	Görüntüler montajlanarak oluşturulmuş.İlk kısmın alındığı The Simpsons bölümünde chemtrails konu alınmıyor.İkinci kısmın alındığı American Dad bölümünde chemtrails iddiaları mizahi biçimde eleştirilmiş.Paylaşımlarda kullanılan bir diğer The Simpsons bölümünde de chemtrails’tan bahsedilmiyor.	yanlış
708	Kola üzerinde yapılan PCR testinin pozitif çıktığı iddiası	Avusturyalı Milletvekilinin kullandığı test kiti PCR testi değil, hastalığı geçiren kişilerde antikor bulunup bulunmadığını görmek için kullanılıyor ve test, sürüntüyle değil ‘kan örneğiyle’ sonuç veriyor.Milletvekili teste pH sabitleyici damlatmadan doğrudan koladan aldığı damlayı bekletiyor. Kola asidik yapıda olduğundan, test çubuğundaki antikor proteinlerini bozuyor ve sonucu pozitif göstererek yanlış sonuç alınmasına sebep oluyor.	yanlış
305	Bir Instagram hesabı tarafından 13 Aralık 2022 tarihinde yapılan paylaşımda Ali Babacan’ın “KYK kredileri ve bursları 850 liradan 1.250 liraya yükseltilmedi. Aylık 147 dolardan 67 dolara düşürüldü.” ifadesini kullandığı iddia edildi. 	Bir Instagram hesabı tarafından yapılan paylaşımda Ali Babacan’ın “KYK Kredileri ve bursları 850 liradan 1.250 liraya yükseltilmedi. Aylık 147 dolardan 67 dolara düşürüldü.” ifadesini kullandığı iddia edilmişti. Cumhurbaşkanı Erdoğan, 12 Aralık 2022 tarihinde üniversite öğrencilerinin aldığı ve lisans öğrencileri için halihazırda 850 TL olan öğrenim kredisi ve bursların Ocak 2023 sonrasında 1250 TL olacağını açıkladı. Babacan doğrulanmış Twitter hesabında Erdoğan’ın açıklamasının ardından aynı gün KYK kredilerinin aylık 147 dolardan 67 dolara düşürüldüğünü bir grafikle Twitter hesabında paylaşmış. T.C. Merkez Bankası kur verilerine göre 2013 yılında burs/kredi miktarının 147 dolara, 2023 yılında ise 1250 TL olan KYK burs ve kredi miktarının 67 dolara tekabül ettiği iddiası doğru.	doğru
